"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2021","24.82","25.33","25.55","24.65","19.21M","-2.63%"
"08/31/2021","25.49","25.72","25.97","25.45","15.95M","-0.39%"
"08/30/2021","25.59","25.54","25.88","25.42","18.91M","-1.01%"
"08/27/2021","25.85","26.84","26.85","25.65","26.68M","-5.14%"
"08/26/2021","27.25","26.48","27.57","26.27","35.94M","4.29%"
"08/25/2021","26.13","26.64","26.75","26.04","14.73M","-2.17%"
"08/24/2021","26.71","26.65","26.92","26.54","16.86M","-0.37%"
"08/23/2021","26.81","26.96","26.96","26.37","23.76M","-3.42%"
"08/20/2021","27.76","29.56","29.71","27.53","34.26M","-7.53%"
"08/19/2021","30.02","30.44","30.88","28.94","73.95M","3.27%"
"08/18/2021","29.07","27.58","29.32","27.18","38.17M","6.87%"
