Id,Start,Name,Impact,Currency
3a497e4b-5d9f-4972-91a0-0758317e925a,04/30/2014 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
41785283-38aa-406a-bd45-9598e8c9987c,05/01/2014 14:00:00,ISM Manufacturing PMI,HIGH,USD
492d53e6-7e55-47fc-84a1-153985fd2203,05/02/2014 12:30:00,Nonfarm Payrolls,HIGH,USD
9a07f4a6-886f-4382-8a08-dcdc4ce2729f,05/02/2014 12:30:00,Unemployment Rate,HIGH,USD
f4baafa9-9977-4523-a838-cd7ace538389,05/07/2014 14:00:00,Fed's Chair Yellen speech,HIGH,USD
ab864d04-41c0-4d1c-87dc-9d0091104767,05/08/2014 13:30:00,Fed's Chair Yellen speech,HIGH,USD
21e73638-2281-42d2-81d6-8c5885f5713e,05/15/2014 12:30:00,Consumer Price Index (MoM),HIGH,USD
e41c2643-eb3d-4c71-96bb-cd8baeb26701,05/15/2014 12:30:00,Consumer Price Index (YoY),HIGH,USD
1a5c3b06-4bba-4db0-9647-8f320e7b7060,05/15/2014 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
c1c59307-940a-4e3c-87d3-3a7c6655d2c8,05/15/2014 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
b0354b88-6251-4198-bed7-ac28c51c7eaf,05/21/2014 18:00:00,FOMC Minutes,HIGH,USD
ce0fb154-1a0c-4066-a967-814726864988,05/29/2014 12:30:00,Gross Domestic Product Annualized,HIGH,USD
25428dfa-0b9f-4509-a712-f28d3793bb5c,06/06/2014 12:30:00,Nonfarm Payrolls,HIGH,USD
c139f586-618d-40a9-a125-c25bf811abef,06/06/2014 12:30:00,Unemployment Rate,HIGH,USD
006f966d-78f1-455a-886c-a251fe8602a1,06/17/2014 12:30:00,Consumer Price Index (MoM),HIGH,USD
fbfaccec-297f-4444-930f-477b3ce2dbff,06/17/2014 12:30:00,Consumer Price Index (YoY),HIGH,USD
74514965-72e9-41d1-b433-c9ea8fc25261,06/17/2014 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
4a3726de-b8a5-4339-a750-fecc97297913,06/17/2014 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
336b97aa-d3af-4960-8e5b-c886a2acabb3,06/18/2014 18:00:00,Fed Interest Rate Decision,HIGH,USD
04117916-f722-4c60-8e93-3ac70f403f98,06/18/2014 18:00:00,Fed Pace of MBS Purchase Program,HIGH,USD
8ebd2589-cdbc-49d4-a723-bec7d0dec3cf,06/18/2014 18:00:00,Fed Pace of Treasury Purchase Program,HIGH,USD
2fafb816-7a4c-4446-9702-4ad7c3ad9b60,06/18/2014 18:30:00,Fed's Monetary Policy Statement and Press Conference,HIGH,USD
5f569533-6e4b-44ab-baf3-01a87ef03a22,06/25/2014 12:30:00,Gross Domestic Product Annualized,HIGH,USD
b90850a7-01da-4f83-ad1a-aced6bccc9a8,07/02/2014 15:00:00,Fed's Chair Yellen speech,HIGH,USD
a29c1689-3b87-48dc-a296-4705bd14135e,07/03/2014 12:30:00,Nonfarm Payrolls,HIGH,USD
a91040c2-467c-48d4-8553-7cb186cde8df,07/03/2014 12:30:00,Unemployment Rate,HIGH,USD
05a3b68b-9241-470e-bb26-767c06dd3860,07/09/2014 18:00:00,FOMC Minutes,HIGH,USD
dc5dab37-7a19-4453-a12a-0942d5215a5c,07/15/2014 14:00:00,Fed's Chair Yellen testifies,HIGH,USD
fee0c3b2-124a-4e90-9406-03a754ffb62d,07/16/2014 14:00:00,Fed's Chair Yellen testifies,HIGH,USD
5ad3c512-9750-43f4-99e4-7e163b49dd54,07/22/2014 12:30:00,Consumer Price Index (YoY),HIGH,USD
f2bd04cc-6b9b-4d18-b259-20d19859862e,07/22/2014 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
5d9eec03-a9fb-4743-854c-1a6d6f73198b,07/25/2014 12:30:00,Durable Goods Orders,HIGH,USD
e7ec8f6b-ed68-49b7-b1ee-1189ab11a29e,07/30/2014 12:30:00,Gross Domestic Product Annualized,HIGH,USD
48371a87-ed94-404e-bb67-2180ebe7a7ea,07/30/2014 12:30:00,Gross Domestic Product Price Index,HIGH,USD
5dc06998-c420-4753-b827-667f646f379a,07/30/2014 18:00:00,Fed Interest Rate Decision,HIGH,USD
7bbf1259-3ce5-4a06-9423-3400f17f419e,07/30/2014 18:00:00,Fed Pace of MBS Purchase Program,HIGH,USD
8c212654-82a5-4928-8b08-1da766958f42,07/30/2014 18:00:00,Fed Pace of Treasury Purchase Program,HIGH,USD
e30d1c5e-ed3f-4370-9436-6ce484dce92e,07/30/2014 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
00b69474-e900-411f-8d6e-2885843692b3,08/01/2014 12:30:00,Nonfarm Payrolls,HIGH,USD
4aca6d83-f948-4628-b59b-23c3b8d7cd66,08/01/2014 12:30:00,Unemployment Rate,HIGH,USD
3b029b57-ae68-40dc-82b6-8c8492de3771,08/01/2014 14:00:00,ISM Manufacturing PMI,HIGH,USD
6a63155b-7ec9-4304-924e-edf0dc3e05d9,08/05/2014 14:00:00,ISM Services PMI,HIGH,USD
c1a49beb-0055-4f5d-ac58-32f271c42e0c,08/19/2014 12:30:00,Consumer Price Index (YoY),HIGH,USD
5b0cfe27-3a09-4a21-951a-ad7da5792d94,08/19/2014 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
aab7203e-021c-4c65-a874-1760d27c99e4,08/20/2014 18:00:00,FOMC Minutes,HIGH,USD
55556c93-e94d-45f9-b0b0-471746ec3fed,08/21/2014 00:00:00,Jackson Hole Symposium,HIGH,USD
50aba6bf-f7a1-4eb2-b09e-157087c22b92,08/22/2014 00:00:00,Jackson Hole Symposium,HIGH,USD
